Sales_order,Date_of_sale,Day_of_sale,Month_of_sale,Year_of_sale,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
261695,2021-12-01,1,December,2021,39,"Adults (35-64)",F,"United States",California,Bikes,"Mountain Bikes","Mountain-200 Black, 46",4,1252.00,2295.00,4172.00,5008.00,9180.00
261696,2021-12-01,1,December,2021,44,"Adults (35-64)",M,"United Kingdom",England,Bikes,"Mountain Bikes","Mountain-200 Silver, 42",1,1266.00,2320.00,1054.00,1266.00,2320.00
261697,2021-12-02,2,December,2021,37,"Adults (35-64)",M,"United States",California,Bikes,"Mountain Bikes","Mountain-400-W Silver, 46",2,420.00,769.00,698.00,840.00,1538.00
261698,2021-12-02,2,December,2021,31,"Young Adults (25-34)",F,Australia,"New South Wales",Bikes,"Mountain Bikes","Mountain-400-W Silver, 42",1,420.00,769.00,349.00,420.00,769.00
261699,2021-12-03,3,December,2021,37,"Adults (35-64)",F,"United States",California,Bikes,"Mountain Bikes","Mountain-200 Black, 46",2,1898.00,2295.00,2086.00,5008.00,4590.00
261700,2021-12-03,3,December,2021,24,"Youth (<25)",F,"United Kingdom",England,Bikes,"Mountain Bikes","Mountain-200 Black, 38",1,1252.00,2295.00,1043.00,1252.00,2295.00
261701,2021-12-03,3,December,2021,37,"Adults (35-64)",M,"United States",Washington,Bikes,"Mountain Bikes","Mountain-200 Black, 46",1,1252.00,2295.00,1043.00,1252.00,2295.00
261701,2021-12-03,3,December,2021,37,"Adults (35-64)",M,"United States",Washington,Bikes,"Mountain Bikes","Mountain-200 Black, 46",1,1252.00,2295.00,1043.00,1252.00,2295.00
261702,2021-12-04,4,December,2021,31,"Young Adults (25-34)",F,Australia,"New South Wales",Bikes,"Mountain Bikes","Mountain-400-W Silver, 42",4,420.00,769.00,1396.00,1680.00,3076.00
261703,2021-12-05,5,December,2021,39,"Adults (35-64)",F,"United States",California,Bikes,"Mountain Bikes","Mountain-200 Black, 46",4,1252.00,2295.00,4172.00,5008.00,9180.00
261704,2021-12-05,5,December,2021,42,"Adults (35-64)",M,Germany,Nordrhein-Westfalen,Bikes,"Mountain Bikes","Mountain-200 Black, 38",4,1252.00,2295.00,4172.00,5008.00,9180.00
261705,2021-12-05,5,December,2021,35,"Adults (35-64)",F,Australia,Queensland,Bikes,"Mountain Bikes","Mountain-200 Silver, 38",1,1266.00,2320.00,1054.00,1266.00,2320.00
261706,2021-12-05,5,December,2021,37,"Adults (35-64)",F,"United States",California,Bikes,"Mountain Bikes","Mountain-200 Black, 46",1,1252.00,2295.00,1043.00,1252.00,2295.00
261707,2021-12-06,6,December,2021,23,"Youth (<25)",M,"United Kingdom",England,Bikes,"Mountain Bikes","Mountain-400-W Silver, 46",3,420.00,769.00,1047.00,1260.00,2307.00
261708,2021-12-06,6,December,2021,27,"Young Adults (25-34)",M,Canada,"British Columbia",Bikes,"Mountain Bikes","Mountain-200 Black, 46",1,1252.00,2295.00,1043.00,1252.00,2295.00
261709,2021-12-06,6,December,2021,36,"Adults (35-64)",M,Australia,"New South Wales",Bikes,"Mountain Bikes","Mountain-200 Black, 42",1,1252.00,2295.00,1043.00,1252.00,2295.00
